rspo,id_organ_prowadzacy
7994,2491
13075,2491
13104,2491
13093,2491
13132,2491
8615,2491
8628,2491
12178,2491
12176,2491
9329,2491
12746,2491
12725,2491
12755,2491
10453,262195
10581,2491
14605,2491
75696,2491
14623,2491
82358,2491
82359,2491
12186,2491
17701,262195
18923,258423
18963,203875
20477,242454
21715,258739
21834,262195
22076,204669
29393,265453
57273,2851
60233,2851
60450,2851
83464,239007
83568,265563
83786,265825
83906,265826
86341,151
86800,151
87402,151
87833,151
88026,265553
88254,151
88531,151
89360,151
89891,151
90350,151
90383,151
90439,151
90486,151
90519,151
90690,151
91107,260362
91251,238249
91291,256829
103543,2
103915,244069
103981,265561
104024,264115
104042,264115
104850,265562
105079,8
124991,8
124993,8
115396,255986
119592,262860
121636,254165
121876,239701
126899,248435
127368,255039
129890,253632
131732,260133
132250,258565
262303,151
262539,258739
263632,480013
264532,258423
264590,264540
266606,266605
266608,266607
266610,266609
266612,266611
270573,270571
272344,268860
274090,274089
274485,274484
277204,258565
277908,260133
277981,262195
277982,262195
279256,255986
479750,479749
6017,2491
8075,2491
8092,2491
8143,2491
8023,2491
6022,2491
14936,2491
9025,2491
25582,152
25583,152
25586,152
25590,274121
25591,196205
25594,196205
47092,152
66222,152
72904,152
122995,196205
132249,258565
132481,258972
267976,152
275297,152
275960,152
14928,152
275967,152
278555,259091
86784,153
86786,153
88513,153
132424,258909
132426,258909
132427,258909
276212,258909
17629,154
17630,154
17631,154
17632,154
64688,155
73767,155
266427,155
8029,2491
6023,2491
125143,2491
12705,2491
12235,2491
8007,2491
8996,2491
9069,2491
8890,2491
13157,2491
13229,2491
13181,2491
274739,2491
25130,156
25203,156
25989,156
26063,156
27105,156
27107,156
27115,156
27127,156
27166,250205
27636,263557
27750,263563
29973,156
122369,156
122365,156
29997,263557
122340,156
122440,156
122437,156
122363,156
127607,250205
128390,251126
129300,252407
271970,156
274404,253405
277473,260581
6019,2491
75695,2491
75693,2491
82520,2491
18974,219109
34350,5
104455,5
104459,5
104458,5
104456,5
52966,157
52967,157
52968,157
52969,157
52970,157
52971,157
52975,157
52976,157
52977,157
71895,219109
124491,242914
132855,279541
267944,157
479949,219109
480887,480886
6020,2491
14562,2491
14535,2491
14559,2491
14530,2491
7055,158
7108,158
278290,158
7985,2491
20652,2491
271601,2491
9074,158
9738,273309
21629,204562
16550,2492
38754,2492
38755,2492
38756,2492
21788,2492
107441,159
107444,159
107446,159
107471,159
107477,159
111647,159
111648,159
115496,267267
266702,257692
275358,257692
92683,257692
266902,266706
275161,159
275168,159
262369,159
279485,480095
54102,160
64793,160
64796,160
16329,2492
268208,2492
17029,2492
21763,2492
129113,2492
34791,2492
17390,2492
19553,2492
20133,2492
80881,2492
43553,2492
92539,2492
92541,2492
92542,2492
66159,161
66226,161
66249,161
66278,161
66692,251373
68000,161
68033,161
68055,251373
68060,161
68733,161
110546,2492
123955,161
124274,249623
124287,243817
124296,252609
124300,478906
124502,253201
262534,161
478426,478425
56322,162
56398,162
111615,162
56324,162
56401,162
104014,273728
124958,243585
128623,251471
266326,162
113603,162
55597,162
66126,163
120349,163
111193,163
111195,163
16470,2492
34793,2492
34794,2492
34795,2492
17031,2492
105502,2492
105504,2492
129114,2492
70717,164
70718,164
70719,164
70720,164
70722,164
70723,164
129867,164
129868,164
129869,164
129870,164
5733,165
18968,165
18966,165
16724,165
18553,250302
18819,165
85213,204551
263704,263702
12740,196205
270255,166
270040,166
12645,166
7125,2493
9168,2493
9169,2493
128525,2493
128534,2493
80543,222626
127982,253235
270844,277479
480125,167
79987,167
84686,167
3359,168
72957,168
72307,168
103381,168
68582,169
68583,169
68585,169
7161,2493
8386,2493
8388,2493
60114,170
60115,170
122499,170
85076,170
60116,170
60117,170
131719,257529
132432,258873
111132,171
131926,257834
133283,260986
73121,2493
263498,2493
128510,2493
84166,172
92128,2493
104898,172
10113,2494
11258,2494
11276,2494
11296,2494
113925,2494
13429,2494
18094,2494
119595,2494
18015,2494
133608,2494
17758,174
17769,174
17771,174
29811,245796
265893,245796
268284,174
268280,174
26082,174
271961,174
17770,174
19721,174
275025,174
275026,174
19722,174
275029,174
275030,174
25789,174
85209,175
87196,175
87427,175
87448,175
265515,175
4302,8
6569,8
8512,2494
9998,2494
60237,2494
277314,2494
9228,2494
12592,2494
12620,2494
12611,2494
9286,2494
9352,2494
11315,2494
11335,2494
12701,2494
113926,2494
113927,2494
113923,2494
13201,263391
17808,263391
17863,263391
13461,263387
64257,176
72104,176
72107,176
72137,263391
73837,176
73838,176
72117,176
85041,176
73839,176
73840,176
73842,270103
85196,176
122906,264114
122941,271482
123833,2494
10995,2494
11029,2494
11725,2494
11210,2494
11187,2494
264370,263387
480342,176
19013,177
19055,247439
19116,254026
27327,177
104484,177
115201,177
71800,177
38809,177
120627,247446
120648,257227
124634,259358
124636,248507
131248,256978
196444,259358
264916,264915
267603,177
267640,177
27298,177
274552,274551
275295,275289
275296,275289
479584,479583
4351,178
7467,178
7468,178
4427,178
7469,178
7471,178
5144,178
5147,178
5428,178
5429,252268
10226,178
11874,178
11876,178
11931,201883
11932,247597
12996,202109
29067,247597
110464,178
119521,479822
119834,257814
120354,257702
129081,252174
131321,257039
131896,257814
132011,257971
263100,178
275196,178
276608,268258
276858,178
278414,480095
278570,276537
84009,179
84195,270914
21743,237634
118858,237634
30445,180
31108,180
50308,180
49980,180
42858,180
42859,180
42860,180
44625,245402
47118,180
50832,245403
68043,479472
105080,8
125211,244069
126845,2773
127016,2773
127015,2773
128535,251274
132836,260038
267070,478120
268391,478855
269185,269184
272120,180
272128,180
42861,180
277680,180
478209,478207
478857,478855
480576,480575
21741,2773
31699,2773
31703,2773
21745,2773
279412,2773
31170,2773
31237,2773
31186,2773
51293,181
60833,261749
61544,261749
61555,248516
61600,274433
61632,274435
70088,181
89284,181
89337,181
89912,181
118546,181
83767,181
70078,181
119253,237709
22081,237709
119142,237709
123364,181
124021,181
49969,181
124181,266185
124181, 266189
126241,272203
130809,181
130808,181
130807,181
